County,Organisation,Scheme,Amount Allocated
Galway,Loughrea Boxing Club,2000,635
Galway,Maree Acrobatics Club,2000,"3,809.00"
Galway,Mervue United FC Ltd. in Partnership with Galway City Council and GMIT,2000,"190,461.00"
Galway,Monivea Rugby Club,2000,"63,487.00"
Galway,Moyne Villa FC,2000,"19,046.00"
Galway,Oughterard Community Centre,2000,"101,579.00"
Galway,Oughterard Golf Club,2000,"38,092.00"
Galway,Presentation College/Corrib R.F.C.,2000,"76,184.00"
Galway,Renmore Brass Band,2000,"3,174.00"
Galway,Renvyle Sports and Social Company Limited,2000,"57,138.00"
Galway,Salthill Devon Football Club ( Wippell Ltd),2000,"31,743.00"
Galway,St Marys GAA Club Athenry,2000,"95,230.00"
Galway,Sylane Hurling Club,2000,"25,395.00"
Galway,Tuam Stadium Committee,2000,"126,974.00"
Galway,Williamstown GAA club,2000,"25,395.00"
Kerry,An Riocht Athletic Club,2000,"126,974.00"
Kerry,Ballydonoghue GAA,2000,"19,046.00"
Kerry,Ballyheigue Castle Golf Club,2000,"50,790.00"
Kerry,Ballyheigue Community Centre,2000,"2,540.00"
Kerry,Ballylongford GAA Club,2000,"31,743.00"
Kerry,Ballymacelligott GAA Club,2000,"12,697.00"
Kerry,Callinafercy Pier Rowing Club,2000,"12,697.00"
Kerry,Castlemaine Community Services Group Ltd,2000,"12,063.00"
Kerry,Cordal GAA Club,2000,"12,697.00"
Kerry,Duagh GAA Club,2000,"25,395.00"
Kerry,Fossa Area Community Games Committee,2000,635
Kerry,Fossa GAA Club,2000,"38,093.00"
Kerry,Glenbeigh Handball Club and Community Centre,2000,"12,697.00"
Kerry,Kenmare Amateur Boxing Club,2000,"1,270.00"
Kerry,Kerry Diocesan Youth Service,2000,"126,974.00"
Kerry,Kerry GAA,2000,"253,948.00"
Kerry,Kilcummin GAA Club,2000,"25,395.00"
Kerry,Kilcummin Recreation Hall,2000,"19,046.00"
Kerry,Killarney Athletic AFC,2000,"38,092.00"
Kerry,Killarney Celtic FC,2000,"48,250.00"
Kerry,Kilmoyley Hurling Club,2000,"19,046.00"
Kerry,Laune Rangers GAA Club,2000,"50,790.00"
Kerry,Lispole GAA Club,2000,"31,743.00"
Kerry,Listowel Community Centre,2000,"31,743.00"
Kerry,Mastergeeha FC,2000,"50,790.00"
Kerry,Muckross Rowing Club Ltd,2000,"31,743.00"
Kerry,Rattoo Rovers Football Club,2000,"19,046.00"
Kerry,Renard GAA,2000,"12,697.00"
Kerry,TEMPLENOE GAA CLUB,2000,"95,230.00"
Kerry,Tralee Rugby Club,2000,"12,697.00"
Kerry,Valentia Young Islanders GAA Club,2000,"31,743.00"
Kildare,9th Kildare Catholic Scouts Ireland,2000,"25,395.00"
Kildare,Allenwood Gaelic Football Club,2000,"126,974.00"
Kildare,Athy Town AFC,2000,"38,092.00"
Kildare,Ballymore Boxing Club,2000,"2,539.00"
Kildare,Castlemitchell GFC,2000,"44,441.00"
Kildare,Celbridge And DistrictLTC,2000,"38,092.00"
Kildare,Clane GAA Club,2000,"126,974.00"
Kildare,Clane Lawn Tennis Club,2000,"31,743.00"
Kildare,Crookstown Community Parish Hall Committee,2000,"12,697.00"
Kildare,Eadestown GAA,2000,"95,230.00"
Kildare,Johnstown Bridge GAA,2000,"158,717.00"
Kildare,kilcullen boxing club,2000,"2,539.00"
Kildare,Kilcullen Community Centre Ltd,2000,"152,369.00"
Kildare,Kilcullen Parish Finance Committee,2000,"63,487.00"
Kildare,Kildare County Council,2000,"253,948.00"
Kildare,Kill Community Council,2000,"25,395.00"
Kildare,Leixlip United AFC,2000,"57,138.00"
Kildare,Moorefield GAA,2000,"190,461.00"
Kildare,Naas Rugby Football Club,2000,"126,974.00"
Kildare,Naas Sports Group Mgt Ltd,2000,"253,948.00"
Kildare,Rathangan GAA Club,2000,"12,697.00"
Kildare,Round Towers GFC,2000,"126,974.00"
Kildare,Sarsfields GAA,2000,"317,435.00"
Kildare,St Brigids CYMS Kildare,2000,"38,092.00"
Kildare,St Corban Conference SVP Kill,2000,"6,349.00"
Kildare,St Davids Amateur Boxing Club Naas,2000,635
Kildare,St Laurences GAA,2000,"50,790.00"
Kildare,St Marys GAA Club Leixlip,2000,"158,717.00"
Kildare,St Michael's Boxing Club,2000,"2,539.00"
Kilkenny,Castlecomer Golf Club,2000,"63,487.00"
Kilkenny,Clara GAA Club,2000,"50,790.00"
Kilkenny,Cloneen GAA Club,2000,"57,138.00"
Kilkenny,Crosspatrick Hall Committee,2000,"6,349.00"
Kilkenny,Cumann Luthcleas Gael Cill Chainnigh,2000,"63,487.00"
Kilkenny,Emeralds G.A.A.,2000,"31,743.00"
Kilkenny,Erin's Own GAA Club,2000,"63,487.00"
Kilkenny,Galmoy Hall Committee,2000,"6,349.00"
Kilkenny,Laois Kilkenny Carlow Boxing Board,2000,"1,270.00"
Kilkenny,Marble City Boxing Club,2000,"1,270.00"
Kilkenny,Mountain View Golf Club,2000,"50,790.00"
Kilkenny,Pilltown FC PLC,2000,"50,790.00"
Kilkenny,Rosbercon Parish Development Association,2000,"31,743.00"
Kilkenny,St Lachtains Gaa Club,2000,"6,349.00"
Kilkenny,Thomastown United A.F.C. Limited,2000,"38,092.00"
Kilkenny,Tullogher Rosbercon GAA Club,2000,"6,349.00"
Laois,Abbeyleix Tennis Club,2000,"25,395.00"
Laois,Ballyfin GAA Club,2000,"19,046.00"
Laois,Courtwood GAA,2000,"19,047.00"
Laois,Crettyard GFC,2000,"15,237.00"
Laois,Graiguecullen GAA Club,2000,"19,046.00"
Laois,Killeshin Pipe Band,2000,"6,349.00"
Laois,Laois Cricket Club,2000,"6,349.00"
Laois,Park/Ratheniska GAA Club,2000,"31,744.00"
Laois,Portarlington Boxing Club,2000,"1,270.00"
Laois,Portarlington GAA Club,2000,"126,974.00"
Laois,Portlaoise Amateur Boxing Club,2000,"3,174.00"
Laois,Portlaoise Soccer Club,2000,"15,237.00"
Laois,Slieve Bloom GAA Club,2000,"44,441.00"
Laois,Spink Community Development Association,2000,"26,665.00"
Laois,St Bridget's and St Paul's Field Dev Committee,2000,"31,743.00"
Laois,St Joseph's GAA Club,2000,"25,395.00"
Laois,St Mary's Sports Hall,2000,"19,046.00"
Laois,St Peter's Boxing Club Portlaoise,2000,"1,270.00"
Leitrim,Aughavas GAA Club,2000,"31,743.00"
Leitrim,Ballinamore Area Community Council Ltd,2000,"126,974.00"
Leitrim,Bee Park Resource Centre Ltd,2000,"126,974.00"
Leitrim,Bornacoola Park Committee,2000,"31,743.00"
Leitrim,Cloone GAA Club,2000,"38,092.00"
Leitrim,Coiste Chontae Liatroma C.L.G,2000,"126,974.00"
Leitrim,Drumshanbo Community Centre Development Co Ltd,2000,"12,697.00"
Leitrim,Drumsna Sports Club,2000,"25,395.00"
Leitrim,Fenagh St Caillins GAA,2000,"19,046.00"
Leitrim,Glencar Community Resource Trust Limited,2000,"38,093.00"
Leitrim,Gortletteragh GAA Club,2000,"25,395.00"
Leitrim,Kiltubrid Parish Development,2000,"31,743.00"
Leitrim,St Mary's GAA Club Kiltoghert,2000,"31,743.00"
Limerick,Abbeyfeale Handball Club,2000,"17,776.00"
Limerick,Ballingarry AFC,2000,"50,790.00"
Limerick,Caherline GAA Club,2000,"12,697.00"
Limerick,Cappamore Development Association,2000,"190,461.00"
Limerick,Corpus Christi Pipes and Drums Band,2000,"15,237.00"
Limerick,Croom Pitch and Putt Club,2000,"15,237.00"
Limerick,Foynes & District Community Council,2000,"38,092.00"
Limerick,Glin Rover Soccer Club,2000,"57,138.00"
Limerick,Hyde Rangers AFC,2000,"31,743.00"
Limerick,Kilcornan Community Council,2000,"44,441.00"
Limerick,Kilfinane Forest AFC,2000,"19,046.00"
Limerick,"Kilmallock GAA Club, C.L.G. Cill Mocheallog.",2000,"38,092.00"
Limerick,Kilmallock Utd AFC,2000,"12,697.00"
Limerick,Knockaderry Cloncagh Community Council,2000,"25,395.00"
Limerick,Knocklong Development Association Limited,2000,"50,790.00"
Limerick,Monagea Gaa Club,2000,"25,395.00"
Limerick,National Coaching and Training Centre University of Limerick,2000,"126,974.00"
Limerick,Old Christians GAA Club,2000,"31,743.00"
Limerick,St Francis Boxing Club,2000,"3,809.00"
Limerick,St Mary's RFC,2000,"78,724.00"
Limerick,St Patrick's GAA Club,2000,"31,743.00"
Limerick,Tournafulla Development Association,2000,"38,092.00"
Limerick,Young Munster RFC,2000,"126,974.00"
Longford,Ardagh St Patricks GAA,2000,"12,697.00"
Longford,Ballymahon GAA,2000,"38,092.00"
Longford,County Longford Schools Soccer Ltd,2000,"5,079.00"
Longford,Domeford Ltd T/A Longford Town Fc,2000,"190,461.00"
Longford,Edgeworthstown District Development Association Ltd,2000,"25,395.00"
Longford,Fr Manning Gaels,2000,"25,395.00"
Longford,Grattan Og GAA Club,2000,"50,790.00"
Longford,Kenagh Community Development Association,2000,"114,276.00"
Longford,Lanesborough Amateur Boxing Club,2000,"3,809.00"
Longford,Legan Sarsfields Gaa,2000,"63,487.00"
Longford,Longford GAA Co Board - Pearse Park,2000,"126,974.00"
Longford,Mostrim GAA,2000,"19,046.00"
Longford,Newtowncashel Community Groups,2000,"25,395.00"
Longford,St Johns Hall Church St Longford,2000,"25,395.00"
Longford,St Thereses NS and Killoe Athletic Club,2000,"25,395.00"
Louth,Ardee St marys GFC,2000,"76,184.00"
Louth,Dealgan Boxing Club,2000,"12,697.00"
Louth,Drogheda Youth Development,2000,"3,174.00"
Louth,Dun Dealgan Athletic and Boys Club,2000,"31,743.00"
Louth,Dundalk Gaels GFC,2000,"12,697.00"
Louth,Glenmuir United F.C,2000,"38,092.00"
Louth,Holy Family Boxing and Community Centre,2000,"38,092.00"
Louth,Kilkerley Boxing Club,2000,"3,809.00"
Louth,Naomh Mairtin GFC,2000,"50,790.00"
Louth,Naomh Mochta Dundalk,2000,"44,441.00"
Louth,Newtown Blues GFC,2000,"38,092.00"
Louth,O'Raghallaighs C.L.G,2000,"25,395.00"
Louth,Sean O'Mahonys GFC,2000,"12,697.00"
Louth,St Gerards AC,2000,"3,174.00"
Louth,St Nicholas GFC,2000,"25,395.00"
Louth,St Patrick's G.F.C Rampark,2000,"88,882.00"
Louth,Termonfeckin Development Group,2000,"38,092.00"
Louth,Westerns GFC,2000,"12,697.00"
Mayo,An Sportlann (Ballinrobe) Ltd. T/A Lakeside Sport and Fitness,2000,"63,487.00"
Mayo,Ardnaree Boxing Club,2000,"25,395.00"
Mayo,Ardnaree Sarsfields GAA Club,2000,"63,487.00"
Mayo,Ballina Stephenites GAA Club,2000,"126,974.00"
Mayo,Ballyvary/Keelogues Development Company,2000,"38,092.00"
Mayo,Carracastle Fife and Drum Band,2000,"2,539.00"
Mayo,Castlebar Boxing Club,2000,"22,855.00"
Mayo,Castlebar Golf Club,2000,"63,487.00"
Mayo,Claremorris Lawn Tennis Club,2000,"95,230.00"
Mayo,Killala Sports and Social Club Ltd,2000,"63,487.00"
Mayo,Kilmaine Community Grounds,2000,"12,697.00"
Mayo,Kiltane GAA Community Complex,2000,"63,487.00"
Mayo,Lacken Sports and Recreation Association,2000,"190,460.00"
Mayo,MAYO LEAGUE COMMUNITY STADIUM LIMITED,2000,"50,790.00"
Mayo,Mulranny Day Centre Housing Company Ltd,2000,"44,441.00"
Mayo,Rakestreet Sports Club,2000,"5,079.00"
Mayo,Scoil Ph draig Sports Committee,2000,"19,046.00"
